dep,date,retail_and_recreation,grocery_and_pharmacy,parks,transit,workplaces,residential
Boaco,2020-02-15,NA,NA,NA,NA,0.09,NA
Boaco,2020-02-17,NA,NA,NA,NA,0.2,NA
Boaco,2020-02-18,NA,NA,NA,NA,0.11,NA
Boaco,2020-02-19,NA,NA,NA,NA,0.12,NA
Boaco,2020-02-20,NA,NA,NA,NA,0.03,NA
Boaco,2020-02-21,NA,NA,NA,NA,0.18,NA
Boaco,2020-02-22,NA,NA,NA,NA,0.11,NA
Boaco,2020-02-24,NA,NA,NA,NA,0.14,NA
Boaco,2020-02-25,NA,NA,NA,NA,0.18,NA
Boaco,2020-02-26,NA,NA,NA,NA,0.11,NA
Boaco,2020-02-27,NA,NA,NA,NA,0.05,NA
Boaco,2020-02-28,NA,NA,NA,NA,0.15,NA
Boaco,2020-02-29,NA,NA,NA,NA,0.04,NA
Boaco,2020-03-02,NA,NA,NA,NA,0.21,NA
Boaco,2020-03-03,NA,NA,NA,NA,0.12,NA
Boaco,2020-03-04,NA,NA,NA,NA,0.09,NA
Boaco,2020-03-05,NA,NA,NA,NA,0.03,NA
Boaco,2020-03-06,NA,NA,NA,NA,0.09,NA
Boaco,2020-03-07,NA,NA,NA,NA,0.04,NA
Boaco,2020-03-09,NA,NA,NA,NA,0.11,NA
Boaco,2020-03-10,NA,NA,NA,NA,0.12,NA
Boaco,2020-03-11,NA,NA,NA,NA,0.14,NA
Boaco,2020-03-12,NA,NA,NA,NA,0.09,NA
Boaco,2020-03-13,NA,NA,NA,NA,0.16,NA
Boaco,2020-03-14,NA,NA,NA,NA,0.04,NA
Boaco,2020-03-16,NA,NA,NA,NA,0.14,NA
Boaco,2020-03-17,NA,NA,NA,NA,0.18,NA
Boaco,2020-03-18,NA,NA,NA,NA,0.07,NA
Boaco,2020-03-19,NA,NA,NA,NA,0,NA
Boaco,2020-03-20,NA,NA,NA,NA,0,NA
Boaco,2020-03-21,NA,NA,NA,NA,-0.11,NA
Boaco,2020-03-22,NA,NA,NA,NA,-0.2,NA
Boaco,2020-03-23,NA,NA,NA,NA,-0.04,NA
Boaco,2020-03-24,NA,NA,NA,NA,-0.04,NA
Boaco,2020-03-25,NA,NA,NA,NA,-0.07,NA
Boaco,2020-03-26,NA,NA,NA,NA,-0.1,NA
Boaco,2020-03-27,NA,NA,NA,NA,-0.09,NA
Boaco,2020-03-28,NA,NA,NA,NA,-0.11,NA
Boaco,2020-03-29,NA,NA,NA,NA,-0.2,NA
Boaco,2020-03-30,NA,NA,NA,NA,-0.05,NA
Boaco,2020-03-31,NA,NA,NA,NA,-0.04,NA
Boaco,2020-04-01,NA,NA,NA,NA,0,NA
Boaco,2020-04-02,NA,NA,NA,NA,-0.12,NA
Boaco,2020-04-03,NA,NA,NA,NA,-0.09,NA
Boaco,2020-04-04,NA,NA,NA,NA,-0.09,NA
Boaco,2020-04-06,NA,NA,NA,NA,-0.29,NA
Boaco,2020-04-07,NA,NA,NA,NA,-0.23,NA
Boaco,2020-04-08,NA,NA,NA,NA,-0.27,NA
Boaco,2020-04-09,NA,NA,NA,NA,-0.5,NA
Boaco,2020-04-10,NA,NA,NA,NA,-0.49,NA
Boaco,2020-04-11,NA,NA,NA,NA,-0.34,NA
Boaco,2020-04-12,NA,NA,NA,NA,-0.25,NA
Boaco,2020-04-13,NA,NA,NA,NA,-0.23,NA
Boaco,2020-04-14,NA,NA,NA,NA,-0.23,NA
Boaco,2020-04-15,NA,NA,NA,NA,-0.12,NA
Boaco,2020-04-16,NA,NA,NA,NA,-0.16,NA
Boaco,2020-04-17,NA,NA,NA,NA,-0.09,NA
Boaco,2020-04-18,NA,NA,NA,NA,-0.03,NA
Boaco,2020-04-20,NA,NA,NA,NA,0,NA
Boaco,2020-04-21,NA,NA,NA,NA,0,NA
Boaco,2020-04-22,NA,NA,NA,NA,0.03,NA
Boaco,2020-04-23,NA,NA,NA,NA,-0.02,NA
Boaco,2020-04-24,NA,NA,NA,NA,-0.03,NA
Boaco,2020-04-25,NA,NA,NA,NA,-0.03,NA
Boaco,2020-04-27,NA,NA,NA,NA,0.02,NA
Boaco,2020-04-28,NA,NA,NA,NA,0.05,NA
Boaco,2020-04-29,NA,NA,NA,NA,0.06,NA
Boaco,2020-04-30,NA,NA,NA,NA,-0.06,NA
Boaco,2020-05-01,NA,NA,NA,NA,-0.25,NA
Boaco,2020-05-02,NA,NA,NA,NA,-0.05,NA
Boaco,2020-05-04,NA,NA,NA,NA,0.06,NA
Boaco,2020-05-05,NA,NA,NA,NA,0.03,NA
Boaco,2020-05-06,NA,NA,NA,NA,0.03,NA
Boaco,2020-05-07,NA,NA,NA,NA,-0.04,NA
Boaco,2020-05-08,NA,NA,NA,NA,-0.09,NA
Boaco,2020-05-09,NA,NA,NA,NA,-0.06,NA
Boaco,2020-05-11,NA,NA,NA,NA,-0.03,NA
Boaco,2020-05-12,NA,NA,NA,NA,-0.05,NA
Boaco,2020-05-13,NA,NA,NA,NA,-0.08,NA
Boaco,2020-05-14,NA,NA,NA,NA,-0.13,NA
Boaco,2020-05-15,NA,NA,NA,NA,-0.06,NA
Boaco,2020-05-16,NA,NA,NA,NA,-0.1,NA
Boaco,2020-05-17,NA,NA,NA,NA,-0.23,NA
Boaco,2020-05-18,NA,NA,NA,NA,-0.11,NA
